id;title;author;description;price;available;category_id
1;Angels and Demons;Dan Brown;World-renowned Harvard symbologist Robert Langdon is summoned to a Swiss research facility to analyze a cryptic symbol seared into the chest of a murdered physicist.;12.42;false;1
2;Murder on the Orient Express;Agatha Christie;Just after midnight, the famous Orient Express is stopped in its tracks by a snowdrift. By morning, the millionaire Samuel Edward Ratchett lies dead in his compartment, stabbed a dozen times, his door locked from the inside.;7.19;false;2
3;Harry Potter and the Prisoner of Azkaban;J.K. Rowling;It's the start of another far from ordinary year at Hogwarts for Harry Potter. Sirius Black, escaped mass-murderer and follower of Lord Voldemort, is on the run - and they say he is coming after Harry.;10.30;false;3
4;Atomic Habits;James Clear;James Clear, one of the world's leading experts on habit formation, reveals practical strategies that will teach you exactly how to form good habits, break bad ones, and master the tiny behaviors that lead to remarkable results.;14.40;false;4
5;The Diary of a Young Girl;Anne Frank;The Diary of a Young Girl, also known as The Diary of Anne Frank, is a book of the writings from the Dutch language diary kept by Anne Frank while she was in hiding for two years with her family during the Nazi occupation of the Netherlands. ;10.34;true;5
6;Pride and Prejudice;Jane Austen;Jane Austen shows us the folly of judging by first impressions and superbly evokes the friendships, gossip and snobberies of provincial middle-class life.;5.29;false;6
7;The Rainbow Fish;Marcus Pfister;The rainbow fish with its iridescent scales is the most beautiful fish in the whole ocean. But since he is also vain and proud, he becomes more and more lonely over time. Then he realizes that you can’t win friends through beauty.;13.75;true;7
8;The Hitchhiker's Guide to the Galaxy;Douglas Adams;A dynamic pair begin a journey through space aided by quotes from The Hitchhiker's Guide ("A towel is about the most massively useful thing an interstellar hitchhiker can have.") and a galaxy full of fellow travelers.;10.58;true;8
9;Everything is Tuberculosis;John Green;Green has become a vocal advocate for increased access to treatment and wider awareness of the healthcare inequities that allow this curable, preventable infectious disease to also be the deadliest, killing over a million people every year.;24.08;false;9
10;Hidden Figures;Margot Lee Shetterly;This book brings to life the stories of Dorothy Vaughan, Mary Jackson, Katherine Johnson, and Christine Darden, who lived through the Civil Rights era, the Space Race, the Cold War, and the movement for gender equality.;6.92;false;10
